,Area Code,Year Code,Gender Code,Fatalities,Percentage:Hypertension,Percentage:Diabetes,Inhabitants,Fatalities_per_100000,Age_std_mortality,MeanAge,PrematureFatalities,PrematureFatalitiesPercent,PrematureFatalityASR,PotentialLifeLost,PLLper1000,PAFpercent
0,3,0,1,51943,4,4,8401989,618,621,79,20493,40,246,350184,44,51
1,3,1,1,51829,5,5,8561821,605,599,79,20146,39,236,341183,42,51
2,3,2,1,52968,6,6,8737440,606,593,79,20450,39,233,343185,42,51
3,3,3,1,52257,5,5,8899330,587,567,79,20381,39,226,340872,40,50
4,3,4,1,55965,4,4,9062381,618,588,79,21915,39,239,373552,44,50
5,3,0,1,18694,5,5,2129703,878,698,78,7614,41,298,119775,60,51
6,3,1,1,19086,5,5,2150325,888,693,78,7665,40,294,119044,60,52
7,3,2,1,18898,5,5,2173765,869,663,78,7567,40,283,116343,58,53
8,3,3,1,19042,5,5,2198607,866,649,78,7677,40,280,115622,57,52
9,3,4,1,20502,5,5,2225282,921,680,78,8311,40,301,127829,62,50
10,3,0,1,8678,5,5,1029768,843,726,76,3986,46,328,65693,68,56
11,3,1,1,8973,5,5,1030572,871,741,76,4069,45,327,65544,68,54
12,3,2,1,9005,4,4,1033718,871,723,76,4069,45,324,66289,69,55
13,3,3,1,8961,4,4,1035001,866,697,76,4015,45,312,63384,66,54
14,3,4,1,9428,4,4,1036188,910,713,76,4223,45,327,66603,69,54
15,3,0,1,1047,5,5,155823,672,756,74,594,57,360,11684,78,60
16,3,1,1,1011,5,5,152168,664,755,74,565,56,347,10535,72,55
17,3,2,1,1075,6,6,151346,710,762,73,617,58,372,11390,79,55
18,3,3,1,1043,5,5,150758,692,728,73,583,56,358,10839,76,55
19,3,4,1,1050,4,4,150219,699,710,74,578,55,349,10979,77,54
20,3,0,1,626,4,4,110369,567,814,68,458,73,459,11119,103,62
21,3,1,1,627,6,6,108153,580,910,68,440,70,445,9898,94,66
22,3,2,1,608,4,4,107501,566,821,68,436,72,439,9348,89,62
23,3,3,1,645,5,5,107346,601,836,68,457,71,455,9431,90,61
24,3,4,1,639,4,4,107285,596,776,69,454,71,439,9861,95,62
30,3,0,1,81330,5,5,11827652,688,653,78,33425,41,269,565266,51,52
31,3,1,1,81867,4,4,12003039,682,637,78,33156,40,261,552523,49,52
32,3,2,1,82858,6,6,12203770,679,625,78,33381,40,256,552351,48,52
33,3,3,1,82320,4,4,12391042,664,602,78,33419,41,250,546730,47,51
34,3,4,1,88346,6,6,12581355,702,626,78,35983,41,265,600028,51,51
35,3,0,0,51755,4,4,8579926,603,444,85,12813,25,147,209512,26,47
36,3,1,0,50785,6,6,8749831,580,426,85,12683,25,142,206446,25,48
37,3,2,0,51960,6,6,8932545,582,426,85,13095,25,142,211196,25,47
38,3,3,0,50526,4,4,9097297,555,405,85,13084,26,138,207409,24,46
39,3,4,0,53745,6,6,9260089,580,421,85,13977,26,144,223234,26,46
40,3,0,0,17491,6,6,2166779,807,498,84,4671,27,177,71437,36,50
41,3,1,0,17503,5,5,2193178,798,488,84,4744,27,176,73040,37,48
42,3,2,0,17557,5,5,2217585,792,476,84,4676,27,167,68173,34,48
43,3,3,0,17249,5,5,2244338,769,463,84,4789,28,169,70183,34,48
44,3,4,0,18138,5,5,2271905,798,471,84,4883,27,167,68620,33,48
45,3,0,0,7085,5,5,1006399,704,502,82,2226,31,191,36292,39,51
46,3,1,0,7010,4,4,1010331,694,489,82,2231,32,188,35268,38,49
47,3,2,0,7150,5,5,1014302,705,486,82,2180,30,178,34867,37,50
48,3,3,0,7043,4,4,1016801,693,468,83,2165,31,173,32386,35,47
49,3,4,0,7413,5,5,1018944,728,486,82,2330,31,188,36535,39,49
50,3,0,0,768,5,5,142070,541,552,80,324,42,226,6712,50,58
51,3,1,0,711,5,5,141242,503,514,80,292,41,203,5654,42,54
52,3,2,0,728,5,5,140683,517,505,79,313,43,215,5785,43,52
53,3,3,0,715,5,5,140233,510,488,80,310,43,209,5825,44,55
54,3,4,0,710,6,6,140222,507,471,80,291,41,195,5634,43,56
55,3,0,0,457,5,5,93169,491,698,71,304,66,376,7877,87,63
56,3,1,0,454,5,5,93287,487,736,70,283,62,344,7099,78,62
57,3,2,0,472,5,5,92974,508,747,69,292,62,351,7040,78,62
58,3,3,0,444,4,4,92977,478,683,70,269,61,319,6029,67,60
59,3,4,0,439,6,6,93055,472,634,70,283,64,333,6216,69,59
65,3,0,0,77722,5,5,11988343,648,464,84,20456,26,160,335009,30,49
66,3,1,0,76637,6,6,12187868,629,448,84,20368,27,155,330634,29,48
67,3,2,0,78051,4,4,12398090,630,445,85,20698,26,153,330401,29,48
68,3,3,0,76173,4,4,12591646,605,426,84,20770,27,150,325077,28,47
69,3,4,0,80955,6,6,12784216,633,442,84,22007,27,155,344865,29,47
70,3,0,2,103699,5,5,16981916,611,525,82,33305,32,195,559697,35,50
71,3,1,2,102614,4,4,17311652,593,505,82,32829,32,188,547630,34,50
72,3,2,2,104929,5,5,17669985,594,503,82,33545,32,186,554381,34,50
73,3,3,2,102784,6,6,17996627,571,480,82,33465,33,181,548281,32,48
74,3,4,2,109710,6,6,18322470,599,498,82,35891,33,190,596786,35,48
75,3,0,2,36185,5,5,4296482,842,592,81,12285,34,237,191212,48,51
76,3,1,2,36588,4,4,4343502,842,585,81,12409,34,234,192084,48,51
77,3,2,2,36455,4,4,4391350,830,565,81,12243,34,224,184516,46,51
78,3,3,2,36291,5,5,4442945,817,551,81,12466,34,224,185805,46,51
79,3,4,2,38641,5,5,4497187,859,571,81,13195,34,233,196449,48,49
80,3,0,2,15763,6,6,2036167,774,612,79,6212,39,261,101985,54,54
81,3,1,2,15983,4,4,2040903,783,611,79,6300,39,259,100812,53,52
82,3,2,2,16154,6,6,2048020,789,601,79,6248,39,253,101157,53,53
83,3,3,2,16004,5,5,2051802,780,580,79,6180,39,244,95770,50,51
84,3,4,2,16841,5,5,2055132,820,598,79,6553,39,258,103138,54,52
85,3,0,2,1815,4,4,297893,609,658,76,917,50,298,18396,65,59
86,3,1,2,1721,5,5,293410,587,634,76,857,50,280,16189,58,55
87,3,2,2,1802,5,5,292029,617,635,75,931,52,298,17176,62,54
88,3,3,2,1758,6,6,290991,604,610,76,893,51,288,16665,60,55
89,3,4,2,1761,5,5,290441,606,592,76,869,49,276,16614,60,55
90,3,0,2,1083,4,4,203538,532,760,69,762,70,423,18997,96,62
91,3,1,2,1082,5,5,201441,537,824,69,722,67,400,16997,86,64
92,3,2,2,1081,5,5,200475,539,791,68,728,67,400,16388,84,62
93,3,3,2,1089,5,5,200323,544,770,69,726,67,394,15461,79,61
