,Areas,Area Code,Regions,Year Code,year,Gender Code,Gender,Fatalities,Percentage:Hypertension,Percentage:Diabetes,Inhabitants,Fatalities_per_100000,Age_std_mortality,MeanAge,PrematureFatalities,PrematureFatalitiesPercent,PrematureFatalityASR,PotentialLifeLost,PLLper1000,PotentialAvoidableFatalities,PAFpercent
0,Remoteness area,3,Major Cities of Australia,0,2015,1,Males,51943.0,4.402,4.401769301715364,8401989.0,618.2,621.1,79.0,20493.0,39.5,246.0,350184.0,44.0,"10,521",51.3
1,Remoteness area,3,Major Cities of Australia,1,2016,1,Males,51829.0,4.358,4.357700699636818,8561821.0,605.3,598.7,79.0,20146.0,38.9,235.9,341183.0,42.1,"10,315",51.2
2,Remoteness area,3,Major Cities of Australia,2,2017,1,Males,52968.0,4.528,4.528428190484649,8737440.0,606.2,593.3,79.0,20450.0,38.6,232.9,343185.0,41.5,"10,668",51.3
3,Remoteness area,3,Major Cities of Australia,3,2018,1,Males,52257.0,4.644,4.643676389063112,8899330.0,587.2,567.4,79.0,20381.0,39.0,226.3,340872.0,40.5,"10,263",49.7
4,Remoteness area,3,Major Cities of Australia,4,2019,1,Males,55965.0,5.049,5.049469991910367,9062381.0,617.6,587.9,79.0,21915.0,39.2,238.9,373552.0,43.7,"10,665",50.1
5,Remoteness area,3,Inner Regional Australia,0,2015,1,Males,18694.0,5.102,5.101801247496864,2129703.0,877.8,698.2,78.0,7614.0,40.7,297.6,119775.0,60.5,"3,887",51.1
6,Remoteness area,3,Inner Regional Australia,1,2016,1,Males,19086.0,5.065,5.0648753561337205,2150325.0,887.6,692.8,78.0,7665.0,40.2,293.7,119044.0,59.7,"3,997",52.1
7,Remoteness area,3,Inner Regional Australia,2,2017,1,Males,18898.0,5.875,5.874533463315454,2173765.0,869.4,662.9,78.0,7567.0,40.0,282.9,116343.0,57.9,"4,063",52.9
8,Remoteness area,3,Inner Regional Australia,3,2018,1,Males,19042.0,5.125,5.125326663234321,2198607.0,866.1,648.6,78.0,7677.0,40.3,280.3,115622.0,57.0,"4,081",52.5
9,Remoteness area,3,Inner Regional Australia,4,2019,1,Males,20502.0,4.265,4.26469494842865,2225282.0,921.3,679.5,78.0,8311.0,40.5,300.8,127829.0,62.4,"4,092",50.5
10,Remoteness area,3,Outer Regional Australia,0,2015,1,Males,8678.0,5.158,5.158265406383551,1029768.0,842.7,726.4,76.0,3986.0,45.9,328.4,65693.0,68.1,"2,215",55.6
11,Remoteness area,3,Outer Regional Australia,1,2016,1,Males,8973.0,4.665,4.664581943433506,1030572.0,870.6,740.7,76.0,4069.0,45.3,326.8,65544.0,68.0,"2,210",54.3
12,Remoteness area,3,Outer Regional Australia,2,2017,1,Males,9005.0,4.956,4.956224854615291,1033718.0,871.1,722.7,76.0,4069.0,45.2,324.0,66289.0,68.7,"2,237",54.6
13,Remoteness area,3,Outer Regional Australia,3,2018,1,Males,8961.0,4.916,4.915911951244048,1035001.0,865.8,697.1,76.0,4015.0,44.8,312.1,63384.0,65.8,"2,162",53.6
14,Remoteness area,3,Outer Regional Australia,4,2019,1,Males,9428.0,5.79,5.790111353610757,1036188.0,909.8,713.4,76.0,4223.0,44.8,327.0,66603.0,69.3,"2,251",53.9
15,Remoteness area,3,Remote Australia,0,2015,1,Males,1047.0,4.531,4.531292899753293,155823.0,671.8,756.3,74.0,594.0,56.7,360.2,11684.0,78.2,354,59.7
16,Remoteness area,3,Remote Australia,1,2016,1,Males,1011.0,5.695,5.69549896519433,152168.0,664.2,754.7,74.0,565.0,55.9,347.3,10535.0,72.3,310,54.8
17,Remoteness area,3,Remote Australia,2,2017,1,Males,1075.0,4.578,4.578034422524604,151346.0,710.0,762.5,73.0,617.0,57.5,372.1,11390.0,78.8,342,55.4
18,Remoteness area,3,Remote Australia,3,2018,1,Males,1043.0,5.617,5.616997837567931,150758.0,691.6,728.4,73.0,583.0,55.9,357.7,10839.0,75.5,321,55.0
